年度季別,全國,新北市,台北市,桃園市,台中市,台南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,台東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市
111Q4,9.61,12.68,15.77,7.83,11.11,9.36,9.25,9,8.95,7.76,9.18,9.04,7.11,6.09,6.77,8.15,9.19,7.94,5.91,7.88,6.65
111Q3,9.8,12.96,16.2,7.98,11.34,9.7,9.06,9.09,9.26,8.12,8.91,9.2,6.94,5.87,6.69,8.02,9.01,8.27,5.82,7.96,6.3
111Q2,9.69,12.82,16.17,7.83,11.14,9.36,9.34,9.21,9.45,8.01,8.94,9.19,7.12,5.93,6.85,8.06,8.98,8.4,5.88,8.03,6.3
111Q1,9.58,12.85,16.22,7.87,11.26,9.2,8.89,9.63,9.2,7.62,9.08,9.01,7.07,5.68,6.5,8.19,8.46,8.01,5.76,8.08,6.24
110Q4,9.46,12.52,16.29,7.95,10.88,9,8.52,9.65,8.8,8.08,9.05,8.94,7.05,5.62,6.47,8.15,8.6,8.34,5.92,7.87,5.99
110Q3,9.24,12.13,15.86,7.78,10.29,8.29,7.81,8.9,8.63,8.09,9.05,8.76,7.01,5.5,5.98,7.67,8.48,8.2,5.77,7.72,5.82
110Q2,9.07,12.13,15.79,7.58,9.87,7.92,7.6,8.71,8.26,7.94,8.56,8.65,6.95,5.58,5.77,7.95,8.5,8.33,5.7,7.42,5.68
110Q1,9.13,12.25,15.54,7.49,10.16,7.78,7.6,8.76,7.87,7.79,8.48,8.67,6.89,5.27,5.76,8,8.39,9.28,5.72,7.17,5.69
109Q4,9.2,12.09,15.78,7.65,10.02,7.74,7.78,8.66,7.76,7.98,8.63,8.22,7.04,5.65,5.62,7.98,8.17,7.83,6.06,7.38,5.69
109Q3,9.19,12.16,15.29,7.93,9.98,7.54,7.65,8.5,8.35,7.43,9.03,8,7,5.87,5.84,7.95,8.59,6.64,5.62,7.41,5.37
109Q2,8.66,11.51,14.39,7.42,9.6,7.29,7.27,8.24,8.05,7.22,8.66,7.51,7.4,5.37,5.57,7.38,7.78,6.98,5.73,6.76,4.88
109Q1,8.62,11.71,13.94,7.47,10.01,7.28,7.28,7.58,7.62,6.67,8.41,8.31,7.22,5.97,5.37,7.55,7.16,7.39,5.69,6.69,4.78
108Q4,8.58,11.72,13.94,7.26,9.8,7.19,7.11,7.5,8.26,6.77,7.94,8.11,6.44,5.41,5.29,7.73,7.88,7.79,5.7,6.74,5.02
108Q3,8.47,11.66,13.73,7.24,9.39,6.93,7.09,7.73,8.1,7.53,7.8,8.84,6.22,5.52,5.37,8,7.81,7.18,5.97,6.85,5.44
108Q2,8.79,11.85,14.45,7.35,9.27,7.12,7.68,7.31,8.24,7.17,8.95,8.08,6.53,6.16,5.42,7.64,8.69,8.45,5.61,6.7,5.21
108Q1,8.66,12.03,14.15,7.39,9.74,7.04,7.5,7.39,7.83,7.26,8.34,7.92,7,5.54,5.53,7,8.08,8.72,5.7,6.91,5.43
107Q4,8.57,11.85,13.86,7.2,9.47,6.67,6.98,7.55,8.15,7.83,7.72,7.04,6.55,5.53,5.08,7.84,8.45,6.77,6.06,6.9,5.41
